Categoría,Subcategoría,Producto,SKU,Precio público,Descripción,Imagen
Accesorios para muros,Vigas decorativas,Viga Interior Rio 2.90X10X5Cm 2,M-VIGA1-201,100.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Rio 2.90X10X5Cm 2. Medida indicada: 2.90X10X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Brasilia 2.90X5X5Cm,M-VIGA2-106,85.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Brasilia 2.90X5X5Cm. Medida indicada: 2.90X5X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Brasilia 2.90X10X5Cm 2,M-VIGA1-106,100.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Brasilia 2.90X10X5Cm 2. Medida indicada: 2.90X10X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Bahia 2.90X5X5Cm,M-VIGA2-003,85.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Bahia 2.90X5X5Cm. Medida indicada: 2.90X5X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Bahia 2.90X10X5Cm 2,M-VIGA1-003,100.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Bahia 2.90X10X5Cm 2. Medida indicada: 2.90X10X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Exterior Teak 2.85X12X7,TD-VIGA-T3,399.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Exterior Teak 2.85X12X7. Medida indicada: 2.85X12X7. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Exterior Redwood 2.85X12X7,TD-VIGA-T2,399.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Exterior Redwood 2.85X12X7. Medida indicada: 2.85X12X7. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Exterior Dark Black 2.85X12X7,TD-VIGA-T8,399.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Exterior Dark Black 2.85X12X7. Medida indicada: 2.85X12X7. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Tapiz,Tapiz Especial,Tapiz PVC Autoadherible En Rollo Metal Mombasa 2.40X1.20,M-TAPIZ-R012,600.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz PVC Autoadherible En Rollo Metal Mombasa 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Zinzabar 2.40X1.20,M-TAPIZ-M067,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Zinzabar 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Marrakech 2.40X1.20,M-TAPIZ-M071,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Marrakech 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Kigali 2.40X1.20,M-TAPIZ-M038,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Kigali 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Kampala 2.40X1.20,M-TAPIZ-M040,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Kampala 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Bahir 2.40X1.20,M-TAPIZ-M099,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Bahir 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Asmara 2.40X1.20,M-TAPIZ-M009,600.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Asmara 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Matte,Tapiz PVC Autoadherible En Rollo Matte Algiers 2.40X1.20,M-TAPIZ-004,0.0,"Tapiz autoadherible de acabado mate para una apariencia sobria y elegante. Modelo Tapiz PVC Autoadherible En Rollo Matte Algiers 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Luxor 2.40X1.20,M-TAPIZ-G459,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Luxor 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Luanda 2.40X1.20,M-TAPIZ-G301,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Luanda 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Johannesburg 2.40X1.20,M-TAPIZ-G503,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Johannesburg 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Jinja 2.40X1.20,M-TAPIZ-G025,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Jinja 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Gabrorne 2.40X1.20,M-TAPIZ-G887,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Gabrorne 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Fes 2.40X1.20,M-TAPIZ-G005,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Fes 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Dakar 2.40X1.20,M-TAPIZ-G188,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Dakar 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Cape Town 2.40X2.40,M-TAPIZ-G210,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Cape Town 2.40X2.40. Medida indicada: 2.40X2.40. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Glossy Cairo 2.40X1.20,M-TAPIZ-G152,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Glossy Cairo 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Glossy,Tapiz PVC Autoadherible En Rollo Gllossy Agadir 2.40X1.20,M-TAPIZ-G886,500.0,"Tapiz autoadherible con acabado brillante que realza colores, vetas y reflejos. Modelo Tapiz PVC Autoadherible En Rollo Gllossy Agadir 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz PVC Autoadherible En Rollo Espejo Constantine 2.40X1.20,M-TAPIZ-R028,650.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz PVC Autoadherible En Rollo Espejo Constantine 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz PVC Autoadherible En Rollo Espejo Alexandria 2.40X1.20,M-TAPIZ-R025,650.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz PVC Autoadherible En Rollo Espejo Alexandria 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz PVC Autoadherible En Rollo Agua Accra 2.40X1.20,M-TAPIZ-R003,600.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz PVC Autoadherible En Rollo Agua Accra 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Urban Asphalt 2.40X1.20,M-TAPIZ-GT005,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Urban Asphalt 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Silver Drift 2.40X1.20,M-TAPIZ-GT011,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Silver Drift 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Sand Rally 2.40X1.20,M-TAPIZ-GT003,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Sand Rally 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Midnight Track 2.40X1.20,M-TAPIZ-GT007,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Midnight Track 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Golden Circuit 2.40X1.20,M-TAPIZ-GT013,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Golden Circuit 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Especial,Tapiz Autoadherible En Rollo GT Chrome PUlse 2.40X1.20,M-TAPIZ-GT009,500.0,"Diseños con efectos espejo, metálicos, acuosos o gráficos para muros de acento. Modelo Tapiz Autoadherible En Rollo GT Chrome PUlse 2.40X1.20. Medida indicada: 2.40X1.20. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Acanalado,Tapiz Acanalado Zira,M-TAPIZ-A004,279.0,"Revestimiento autoadherible con líneas en relieve que aportan textura y profundidad. Modelo Tapiz Acanalado Zira. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Acanalado,Tapiz Acanalado Siltar,M-TAPIZ-A003,279.0,"Revestimiento autoadherible con líneas en relieve que aportan textura y profundidad. Modelo Tapiz Acanalado Siltar. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Acanalado,Tapiz Acanalado Emira,M-TAPIZ-A002,279.0,"Revestimiento autoadherible con líneas en relieve que aportan textura y profundidad. Modelo Tapiz Acanalado Emira. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Tapiz,Tapiz Acanalado,Tapiz Acanalado Ashra,M-TAPIZ-A001,279.0,"Revestimiento autoadherible con líneas en relieve que aportan textura y profundidad. Modelo Tapiz Acanalado Ashra. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-papel-tapiz.jpg
Accesorios para muros,Complementos para vigas,Tapa Para Viga WPC Exterior Teak,TD-TAPA-T3,50.0,"Tapas, soportes y coples para completar y asegurar la instalación de vigas decorativas. Modelo Tapa Para Viga WPC Exterior Teak. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Complementos para vigas,Tapa Para Viga Exterior Redwwod,TD-TAPA-T2,50.0,"Tapas, soportes y coples para completar y asegurar la instalación de vigas decorativas. Modelo Tapa Para Viga Exterior Redwwod. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Complementos para vigas,Soporte Giratorio Para Viga Interior,,0.0,"Tapas, soportes y coples para completar y asegurar la instalación de vigas decorativas. Modelo Soporte Giratorio Para Viga Interior. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Complementos para vigas,Soporte Giratorio Para Viga Exterior,TD-VIGA-SOPORTE,90.0,"Tapas, soportes y coples para completar y asegurar la instalación de vigas decorativas. Modelo Soporte Giratorio Para Viga Exterior. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Complementos para vigas,Soporte Giratorio Para Viga Exterior 10X5,M-VIGA-SOPORTE,65.0,"Tapas, soportes y coples para completar y asegurar la instalación de vigas decorativas. Modelo Soporte Giratorio Para Viga Exterior 10X5. Medida indicada: 10X5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Deck,Accesorios para deck,Plastic Clip Para Decks De WPC,CLIPDECK,0.0,"Clips y piezas de fijación para lograr una instalación firme y uniforme del deck. Modelo Plastic Clip Para Decks De WPC. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/proyecto-piedra.jpg
Placas,Placas PU réplica,Placa Tronco PU Cafe Replica,M-REPLICA-010,1068.65,"Paneles ligeros de poliuretano que reproducen texturas de piedra, roca o tronco con fácil instalación. Modelo Placa Tronco PU Cafe Replica. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/proyecto-piedra.jpg
Placas,Placas tipo espejo y metal,Placa Tipo Metal 2.44X1.22,M-ESPEJO-02,1500.0,"Acabados reflejantes o metálicos para acentos decorativos contemporáneos. Modelo Placa Tipo Metal 2.44X1.22. Medida indicada: 2.44X1.22. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marol Bright Black 1.22X2.80,M-MARMOL-002,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marol Bright Black 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Zafiro 1.22X2.44,M-MARMOL-006,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Zafiro 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Topacio 1.22X2.44,M-MARMOL-106,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Topacio 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Perla 1.22X2.44,Perla M-MARMOL-042,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Perla 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Opalo 1.22X2.44,M-MARMOL-104,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Opalo 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Onix 1.22X2.44,M-MARMOL-102,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Onix 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Obsidiana 1.22X2.44,M-MARMOL-017,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Obsidiana 1.22X2.44. Medida indicada: 1.22X2.44. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Jasper,M-MARMOL-108,850.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Jasper. Consulta disponibilidad, presentación y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Grande Zafiro 1.22X2.80,M-MARMOLXX-006,0.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Grande Zafiro 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Grande Opalo 1.22X2.80,M-MARMOLXX-104,0.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Grande Opalo 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Grande Onix 1.22X2.80,M-MARMOLXX-102,0.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Grande Onix 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Grande Grafito 1.22X2.80,M-MARMOLXX-014,950.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Grande Grafito 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
Placas,Placas tipo mármol,Placa Tipo Marmol Grande Agata 1.22X2.80,M-MARMOLXX-059,950.0,"Placas decorativas con vetas y apariencia de piedra natural para muros elegantes y de gran formato. Modelo Placa Tipo Marmol Grande Agata 1.22X2.80. Medida indicada: 1.22X2.80. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-placas-pvc.jpg
